variable,gas,sector,unit,global
CEDS+|9+ Sectors|Emissions|Sulfur|Industrial Sector|Unharmonized,Sulfur,Industrial Sector,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|International Shipping|Unharmonized,Sulfur,International Shipping,Mt SO2/yr,True
CEDS+|9+ Sectors|Emissions|Sulfur|Peat Burning|Unharmonized,Sulfur,Peat Burning,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Residential Commercial Other|Unharmonized,Sulfur,Residential Commercial Other,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Solvents Production and Application|Unharmonized,Sulfur,Solvents Production and Application,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Transportation Sector|Unharmonized,Sulfur,Transportation Sector,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|Sulfur|Waste|Unharmonized,Sulfur,Waste,Mt SO2/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Agricultural Waste Burning|Unharmonized,VOC,Agricultural Waste Burning,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Agriculture|Unharmonized,VOC,Agriculture,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Aircraft|Unharmonized,VOC,Aircraft,Mt VOC/yr,True
CEDS+|9+ Sectors|Emissions|VOC|Energy Sector|Unharmonized,VOC,Energy Sector,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Forest Burning|Unharmonized,VOC,Forest Burning,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Grassland Burning|Unharmonized,VOC,Grassland Burning,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Industrial Sector|Unharmonized,VOC,Industrial Sector,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|International Shipping|Unharmonized,VOC,International Shipping,Mt VOC/yr,True
CEDS+|9+ Sectors|Emissions|VOC|Peat Burning|Unharmonized,VOC,Peat Burning,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Residential Commercial Other|Unharmonized,VOC,Residential Commercial Other,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Solvents Production and Application|Unharmonized,VOC,Solvents Production and Application,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Transportation Sector|Unharmonized,VOC,Transportation Sector,Mt VOC/yr,False
CEDS+|9+ Sectors|Emissions|VOC|Waste|Unharmonized,VOC,Waste,Mt VOC/yr,False
